,sector,region,scenario,Year,value
0,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2010,-2.388889255024956e-10
1,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2020,-6.409449078047858e-11
2,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,-9.117780997680972e-09
3,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2040,-1.5327655858165014e-08
4,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2065,-2.563976814904471e-07
5,,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,-1.7218339135e-06
6,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2020,-4.693350829493653e-08
7,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,-1.203493109e-06
8,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2075,-7.551624313027753e-07
9,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,-2.1077325706e-06
10,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,-8.62997848249214e-08
11,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,-1.4115491064e-06
12,,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2100,-9.408176696991734e-08
13,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2005,-1.5340275083e-06
14,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2025,-3.4425902815e-06
15,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2030,-1.58979711066e-05
16,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,-4.8053888971e-06
17,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2050,-0.000121927914387
18,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2060,-3.66559248081e-05
19,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,-2.01440848463e-05
20,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,-3.58146929206e-05
21,,China,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,-1.55815899502e-05
22,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2010,-1.6831346386570769e-07
23,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2015,-2.148165206753374e-07
24,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2020,-3.51620792987108e-07
25,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,-5.901238868378346e-07
26,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2050,-8.2887227982e-06
27,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2055,-3.4178096458e-06
28,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2060,-6.0895230733e-06
29,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2065,-7.4714577073e-06
30,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2075,-2.84707648017e-05
31,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,-7.3607782738e-06
32,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,-1.06905610177e-05
33,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2090,-1.8404343578e-06
34,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,-1.10142337181e-05
35,,India,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2100,-1.3220372941e-06
36,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2010,-9.726722443068471e-09
37,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2015,-3.2287468615189417e-07
38,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2025,-1.6044484055e-06
39,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2030,-2.5168572462e-06
40,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,-4.482520441611758e-09
41,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2040,-1.3016964548996922e-08
42,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2045,-6.067995532e-06
43,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2055,-5.874400315888464e-08
44,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2065,-2.806968863719645e-06
45,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2070,-3.905223220748166e-06
46,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,-6.3766464197910085e-06
47,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,-3.514360260342684e-06
48,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,-2.331292190390524e-07
49,,South Asia,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2100,-4.47688738041854e-07
50,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2005,0.1666151844709236
51,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2010,0.22093321885792105
52,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2015,0.30031107892588726
53,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2020,0.38930860782533694
54,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2025,0.6317278289190722
55,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2030,0.7967616062549969
56,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2035,0.9567369896347995
57,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2040,1.06906008790896
58,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2045,1.1626161264439374
59,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2050,1.2086488083165758
60,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2055,1.2596128273455955
61,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2060,1.307784510519815
62,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2065,1.3564410261775368
63,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2070,1.3996435771278826
64,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2075,1.4361861410852095
65,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2080,1.4667911948886916
66,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2085,1.493050610042474
67,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2090,1.5159151462282123
68,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2095,1.5347800064230004
69,agriculture,Africa_Western,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2100,1.5482519027474688
70,agriculture,Brazil,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",2005,4.21667339159336
